patient_id,full_name,gender,date_of_birth,phone,email
P001,Lerato Dlamini,M,1978-11-03,0839876543,example@gmail.com
P002,Sipho Ndlovu,M,1988-09-18,0821234567,
P003,,M,1985-04-12,0821234567,example@gmail.com
P004,Ayesha Khan,,1988-09-18,0821234567,
P005,Ayesha Khan,,1990-02-30,0839876543,
P006,John Smith,M,1992/07/25,,
P007,John Smith,F,1992/07/25,,example@gmail.com
P008,Lerato Dlamini,Female,1985-04-12,,
P009,John Smith,M,1990-02-30,0821234567,
P010,Lerato Dlamini,,1978-11-03,,
P011,Ayesha Khan,M,1985-04-12,0839876543,
P012,Lerato Dlamini,F,1985-04-12,,
P013,  Michael  Brown ,Male,1992/07/25,,
P014,Ayesha Khan,Male,1985-04-12,0839876543,
P015,Ayesha Khan,F,1990-02-30,,
P016,Ayesha Khan,Male,1985-04-12,0839876543,example@gmail.com
P017,Nomsa Khumalo,Female,1978-11-03,0821234567,example@gmail.com
P018,Nomsa Khumalo,F,1990-02-30,,
P019,  Michael  Brown ,F,1978-11-03,0839876543,example@gmail.com
P020,John Smith,,1990-02-30,,
P021,Ayesha Khan,F,1988-09-18,,example@gmail.com
P022,Thabo Mokoena,M,1992/07/25,0839876543,
P023,,,1985-04-12,,
P024,  Michael  Brown ,,1978-11-03,0821234567,
P025,Lerato Dlamini,,1978-11-03,,example@gmail.com
P026,John Smith,Female,1992/07/25,,example@gmail.com
P027,John Smith,,1992/07/25,0821234567,
P028,John Smith,,1988-09-18,0839876543,example@gmail.com
P029,Nomsa Khumalo,F,1988-09-18,0821234567,
P030,Nomsa Khumalo,Female,1985-04-12,0821234567,
P031,John Smith,F,1985-04-12,0839876543,
P032,Lerato Dlamini,M,1990-02-30,0821234567,
P033,Sipho Ndlovu,F,1990-02-30,0839876543,
P034,,F,1988-09-18,0839876543,
P035,John Smith,Female,1978-11-03,,
P036,  Michael  Brown ,M,1992/07/25,0839876543,example@gmail.com
P037,Nomsa Khumalo,M,1988-09-18,0839876543,
P038,Ayesha Khan,M,1985-04-12,0821234567,example@gmail.com
P039,Lerato Dlamini,M,1978-11-03,0821234567,
P040,Ayesha Khan,Male,1990-02-30,0839876543,
P041,Sipho Ndlovu,,1988-09-18,,example@gmail.com
P042,  Michael  Brown ,Female,1992/07/25,0821234567,example@gmail.com
P043,,Male,1990-02-30,,
P044,Thabo Mokoena,M,1985-04-12,,
P045,Nomsa Khumalo,M,1992/07/25,0839876543,example@gmail.com
P046,  Michael  Brown ,F,1990-02-30,0839876543,
P047,  Michael  Brown ,F,1985-04-12,,
P048,Lerato Dlamini,M,1988-09-18,0821234567,example@gmail.com
P049,Ayesha Khan,F,1990-02-30,,
P050,Ayesha Khan,Female,1985-04-12,0839876543,
P051,Thabo Mokoena,Female,1978-11-03,,
P052,,,1990-02-30,0839876543,example@gmail.com
P053,John Smith,F,1985-04-12,0821234567,
P054,Nomsa Khumalo,M,1985-04-12,,
P055,Sipho Ndlovu,M,1988-09-18,0821234567,example@gmail.com
P056,Lerato Dlamini,,1985-04-12,0839876543,
P057,Lerato Dlamini,,1992/07/25,0821234567,
P058,Lerato Dlamini,Female,1988-09-18,,
P059,Ayesha Khan,Male,1992/07/25,,
P060,Sipho Ndlovu,Male,1990-02-30,,example@gmail.com
P061,Thabo Mokoena,Female,1988-09-18,0821234567,example@gmail.com
P062,Ayesha Khan,,1978-11-03,0839876543,
P063,Lerato Dlamini,F,1978-11-03,,example@gmail.com
P064,  Michael  Brown ,,1978-11-03,0821234567,
P065,John Smith,M,1992/07/25,,example@gmail.com
P066,Lerato Dlamini,,1992/07/25,,
P067,Ayesha Khan,Male,1992/07/25,,
P068,  Michael  Brown ,Male,1985-04-12,0821234567,
P069,,Male,1985-04-12,0821234567,
P070,Sipho Ndlovu,Male,1992/07/25,,
P071,,,1985-04-12,0821234567,example@gmail.com
P072,Sipho Ndlovu,,1985-04-12,,
P073,Sipho Ndlovu,Female,1992/07/25,0821234567,
P074,Nomsa Khumalo,M,1978-11-03,0839876543,
P075,Ayesha Khan,M,1978-11-03,,
P076,Sipho Ndlovu,F,1992/07/25,0839876543,
P077,Thabo Mokoena,F,1978-11-03,,
P078,Ayesha Khan,Male,1992/07/25,0821234567,
P079,Thabo Mokoena,Female,1992/07/25,0839876543,
P080,Nomsa Khumalo,Male,1992/07/25,0839876543,example@gmail.com
